Sample	Read Pair Unique	Read Pair Not Optical Duplicates	Read Pair Optical Duplicates
NS.1223.004.NEBNext_dual_i7_F3---NEBNext_dual_i5_F3.14_35_vHIP	20397659.0	3976379.0	251930.0
NS.1223.004.NEBNext_dual_i7_F3---NEBNext_dual_i5_F3.14_35_vHIPest_lib_complex_metrics	20885981.0	3634652.0	243575.0
NS.1223.004.NEBNext_dual_i7_F4---NEBNext_dual_i5_F4.04_09_dHIP	17703756.0	3043721.0	187976.0
NS.1223.004.NEBNext_dual_i7_F4---NEBNext_dual_i5_F4.04_09_dHIPest_lib_complex_metrics	18080203.0	2780562.0	181690.0
NS.1223.004.NEBNext_dual_i7_F5---NEBNext_dual_i5_F5.13_09_ACC	26914893.0	5892036.0	383210.0
NS.1223.004.NEBNext_dual_i7_F5---NEBNext_dual_i5_F5.13_09_ACCest_lib_complex_metrics	27656681.0	5434477.0	371728.0
NS.1223.004.NEBNext_dual_i7_F6---NEBNext_dual_i5_F6.21_38_vHIP	26359503.0	6422895.0	398761.0
NS.1223.004.NEBNext_dual_i7_F6---NEBNext_dual_i5_F6.21_38_vHIPest_lib_complex_metrics	27095766.0	5935493.0	386104.0
NS.1223.004.NEBNext_dual_i7_F7---NEBNext_dual_i5_F7.25_31_dHIP	27904771.0	6219932.0	374062.0
NS.1223.004.NEBNext_dual_i7_F7---NEBNext_dual_i5_F7.25_31_dHIPest_lib_complex_metrics	28624168.0	5699296.0	362026.0
NS.1223.004.NEBNext_dual_i7_F8---NEBNext_dual_i5_F8.11_09_ACC	20910647.0	4184859.0	250163.0
NS.1223.004.NEBNext_dual_i7_F8---NEBNext_dual_i5_F8.11_09_ACCest_lib_complex_metrics	21399479.0	3826047.0	242036.0
NS.1223.004.NEBNext_dual_i7_F9---NEBNext_dual_i5_F9.03_15_vHIP	50886328.0	15764903.0	811807.0
NS.1223.004.NEBNext_dual_i7_F9---NEBNext_dual_i5_F9.03_15_vHIPest_lib_complex_metrics	52687003.0	14355915.0	784653.0
NS.1223.004.NEBNext_dual_i7_G1---NEBNext_dual_i5_G1.27_32_vHIP	23322217.0	4945573.0	295362.0
NS.1223.004.NEBNext_dual_i7_G1---NEBNext_dual_i5_G1.27_32_vHIPest_lib_complex_metrics	23923925.0	4514166.0	285039.0
NS.1223.004.NEBNext_dual_i7_G2---NEBNext_dual_i5_G2.08_09_dHIP	19842495.0	3414331.0	201524.0
NS.1223.004.NEBNext_dual_i7_G2---NEBNext_dual_i5_G2.08_09_dHIPest_lib_complex_metrics	20337657.0	3126455.0	195536.0
