Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC_R2						57.29227574932318	51.0	99.12798370885362	9.090909090909092	36289650.0	1.8264906153708502
NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACCest_lib_complex_metrics			0.199658								
NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP			0.190777	94.23	26748696.0						
NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP_R1						51.6808191948086	52.0	99.20559861225017	18.181818181818183	28387249.0	
NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP_R2						54.73379243285385	52.0	99.17791294253276	9.090909090909092	28387249.0	1.7125135600670132
NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIPest_lib_complex_metrics			0.174371								
NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP			0.237314	94.33	43004002.0						
NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP_R1						55.90566191356744	51.0	99.29029691313576	18.181818181818183	45587946.0	
NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP_R2						59.06407017679574	51.0	99.22905537354107	9.090909090909092	45587946.0	1.638089544450421
NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIPest_lib_complex_metrics			0.218703								
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC			0.183934	94.08	27956685.0						
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC_R1						51.152684604378464	51.0	99.27179644493312	18.181818181818183	29716853.0	
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC_R2						53.70709302792835	52.0	99.20759079031686	9.090909090909092	29716853.0	1.6532527402395902
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACCest_lib_complex_metrics			0.168182								
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP			0.181793	94.39	27609192.0						
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP_R1						51.24653892762121	52.0	99.2085355091031	18.181818181818183	29248683.0	
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP_R2						54.161279543734175	52.0	99.15063956896795	9.090909090909092	29248683.0	1.7953611491179557
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIPest_lib_complex_metrics			0.165549								
NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIP			0.195461	94.54	32554551.0						
NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIP_R1						52.28496912919998	51.0	99.21327846669239	18.181818181818183	34433795.0	
NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIP_R2						55.21658000225186	51.0	99.15031741345966	9.090909090909092	34433795.0	1.7850671285576851
NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIPest_lib_complex_metrics			0.179223								
NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIP			0.217419	94.49	51037003.0						
NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIP_R1						56.64427731874952	51.0	99.16855590926836	18.181818181818183	54014944.0	
NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIP_R2						60.023327897654646	51.0	99.13483205684709	9.090909090909092	54014944.0	1.705423934375357
NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIPest_lib_complex_metrics			0.197948								
NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACC			0.191997	93.86	29957877.0						
NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACC_R1						51.6064234420689	51.0	99.19193422722859	18.181818181818183	31918132.0	
NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACC_R2						54.58832258196571	51.0	99.17649710828942	9.090909090909092	31918132.0	1.807253904254594
NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACCest_lib_complex_metrics			0.175244								
NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIP			0.18005	94.22	25359701.0						
NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIP_R1						51.220815549778685	51.0	99.27294561748326	18.181818181818183	26914900.0	
NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIP_R2						54.66832322732158	51.0	99.23372451690328	9.090909090909092	26914900.0	1.652645060029817
NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIPest_lib_complex_metrics			0.16431								
NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIP			0.189453	94.23	24407958.0						
NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIP_R1						49.49768622138898	51.0	99.1605766273214	9.090909090909092	25901721.0	
NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIP_R2						51.25893898247361	51.0	99.07921130028387	9.090909090909092	25901721.0	2.0216412306503893
NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIPest_lib_complex_metrics			0.173846								
NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACC			0.186852	94.14	40797719.0						
NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACC_R1						54.761553560093866	51.0	99.27483694561504	18.181818181818183	43336921.0	
NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACC_R2						57.4532379189836	51.0	99.21754796562497	9.090909090909092	43336921.0	1.7465109279419504
NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACCest_lib_complex_metrics			0.169409								
NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIP			0.173676	94.27	27202381.0						
NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIP_R1						50.03720845089853	51.0	99.19562177393513	18.181818181818183	28854426.0	
NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIP_R2						53.484211421040726	52.0	99.15431906356412	9.090909090909092	28854426.0	1.776476723432956
NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIPest_lib_complex_metrics			0.158403								
NS.1223.004.NEBNext_dual_i7_D8---NEBNext_dual_i5_D8.06_38_dHIP			0.208477	94.63	36149101.0						
NS.1223.004.NEBNext_dual_i7_D8---NEBNext_dual_i5_D8.06_38_dHIP_R1						54.59846150527973	51.0	99.24690190377844	18.181818181818183	38201767.0	
NS.1223.004.NEBNext_dual_i7_D8---NEBNext_dual_i5_D8.06_38_dHIP_R2						57.88030212258949	52.0	99.20486013120806	9.090909090909092	38201767.0	1.655482655288792
NS.1223.004.NEBNext_dual_i7_D8---NEBNext_dual_i5_D8.06_38_dHIP_est_lib_complex_metrics			0.190924								
NS.1223.004.NEBNext_dual_i7_D8---NEBNext_dual_i5_D8.06_38_dHIPest_lib_complex_metrics			0.190924								
NS.1223.004.NEBNext_dual_i7_D9---NEBNext_dual_i5_D9.03_15_ACC			0.169995	93.91	24124292.0						
NS.1223.004.NEBNext_dual_i7_D9---NEBNext_dual_i5_D9.03_15_ACC_R1						48.449599632663784	51.0	99.22231393319315	9.090909090909092	25689402.0	
NS.1223.004.NEBNext_dual_i7_D9---NEBNext_dual_i5_D9.03_15_ACC_R2						51.588490145666654	52.0	99.1716862852627	9.090909090909092	25689402.0	1.75502082493778
NS.1223.004.NEBNext_dual_i7_D9---NEBNext_dual_i5_D9.03_15_ACCest_lib_complex_metrics			0.155492								
NS.1223.004.NEBNext_dual_i7_E1---NEBNext_dual_i5_E1.27_32_ACC			0.187494	93.97	27478020.0						
NS.1223.004.NEBNext_dual_i7_E1---NEBNext_dual_i5_E1.27_32_ACC_R1						49.55594863963436	51.0	99.21904158468281	9.090909090909092	29242041.0	
NS.1223.004.NEBNext_dual_i7_E1---NEBNext_dual_i5_E1.27_32_ACC_R2						52.89866408322366	52.0	99.16833164962733	9.090909090909092	29242041.0	1.700033679516481
NS.1223.004.NEBNext_dual_i7_E1---NEBNext_dual_i5_E1.27_32_ACCest_lib_complex_metrics			0.172061								
NS.1223.004.NEBNext_dual_i7_E2---NEBNext_dual_i5_E2.03_13_vHIP			0.193246	94.22	34890544.0						
NS.1223.004.NEBNext_dual_i7_E2---NEBNext_dual_i5_E2.03_13_vHIP_R1						53.16642227787883	51.0	99.22106637032097	18.181818181818183	37032426.0	
NS.1223.004.NEBNext_dual_i7_E2---NEBNext_dual_i5_E2.03_13_vHIP_R2						55.2858362904183	51.0	99.15336878010639	9.090909090909092	37032426.0	1.8048516244238133
NS.1223.004.NEBNext_dual_i7_E2---NEBNext_dual_i5_E2.03_13_vHIPest_lib_complex_metrics			0.17554								
NS.1223.004.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.14_35_dHIP			0.195907	94.42	54262691.0						
NS.1223.004.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.14_35_dHIP_R1						56.89956509797768	51.0	99.25760195479944	18.181818181818183	57466765.0	
NS.1223.004.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.14_35_dHIP_R2						60.68730229063043	51.0	99.21142044449518	9.090909090909092	57466765.0	1.7101893793263274
