Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
NS.1223.004.NEBNext_dual_i7_H3---NEBNext_dual_i5_H3.10_35_dHIPest_lib_complex_metrics	Unknown	0.0	39173790.0	0.0	0.0	0.0	6439670.0	373644.0	0.164387	110786966.0
NS.1223.004.NEBNext_dual_i7_H4---NEBNext_dual_i5_H4.08_31_ACC	Unknown Library	0.0	30664816.0	3464414.0	0.0	0.0	5574459.0	327420.0	0.181787	77268153.0
NS.1223.004.NEBNext_dual_i7_H4---NEBNext_dual_i5_H4.08_31_ACCest_lib_complex_metrics	Unknown	0.0	30782195.0	0.0	0.0	0.0	5112798.0	315723.0	0.166096	86300036.0
NS.1223.004.NEBNext_dual_i7_H5---NEBNext_dual_i5_H5.13_09_vHIP	Unknown Library	0.0	31332378.0	3455884.0	0.0	0.0	5495201.0	311036.0	0.175384	82156364.0
NS.1223.004.NEBNext_dual_i7_H5---NEBNext_dual_i5_H5.13_09_vHIPest_lib_complex_metrics	Unknown	0.0	31639198.0	0.0	0.0	0.0	5075386.0	301960.0	0.160414	92128539.0
NS.1223.004.NEBNext_dual_i7_H6---NEBNext_dual_i5_H6.01_15_dHIP	Unknown Library	0.0	27461588.0	2815758.0	0.0	0.0	4713685.0	285270.0	0.171646	74059058.0
NS.1223.004.NEBNext_dual_i7_H6---NEBNext_dual_i5_H6.01_15_dHIPest_lib_complex_metrics	Unknown	0.0	27586389.0	0.0	0.0	0.0	4331688.0	274342.0	0.157023	82576326.0
NS.1223.004.NEBNext_dual_i7_H7---NEBNext_dual_i5_H7.05_13_ACC	Unknown Library	0.0	33639211.0	3615124.0	0.0	0.0	6599076.0	363110.0	0.196172	77305139.0
NS.1223.004.NEBNext_dual_i7_H7---NEBNext_dual_i5_H7.05_13_ACCest_lib_complex_metrics	Unknown	0.0	33819955.0	0.0	0.0	0.0	6065269.0	350083.0	0.17934	86498067.0
NS.1223.004.NEBNext_dual_i7_H8---NEBNext_dual_i5_H8.11_09_vHIP	Unknown Library	0.0	46829916.0	4929614.0	0.0	0.0	9007592.0	471650.0	0.192347	109904521.0
NS.1223.004.NEBNext_dual_i7_H8---NEBNext_dual_i5_H8.11_09_vHIPest_lib_complex_metrics	Unknown	0.0	47008512.0	0.0	0.0	0.0	8189145.0	451340.0	0.174206	124071782.0
NS.1223.004.NEBNext_dual_i7_H9---NEBNext_dual_i5_H9.03_32_dHIP	Unknown Library	0.0	35054373.0	3647434.0	0.0	0.0	6292079.0	382100.0	0.179495	89787007.0
NS.1223.004.NEBNext_dual_i7_H9---NEBNext_dual_i5_H9.03_32_dHIPest_lib_complex_metrics	Unknown	0.0	35119894.0	0.0	0.0	0.0	5735529.0	364990.0	0.163313	100545653.0
