	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC_R2 - First read: Adapter 1	1.3353734416609657	1.2998050435085828	2.2606869442551236	5.4708105092310815	17.655964698721853	77.73382024751471	255.55194805194805	951.5422077922078	3518.311688311688	12961.794871794873	44817.0	214485.0	395760.0	36001.0	35252.0	30674.0	24267.0	23880.0	22456.0	18998.0	18993.0	17533.0	15618.0	13269.0	13572.0	11762.0	10496.0	9229.0	7619.0	7694.0	6546.0	6780.0	6050.0	4601.0	4846.0	4481.0	4194.0	3526.0	3685.0	3451.0	3533.0	2106.0	3830.0	951.0	1801.0	3560.0	1794.0	1142.0	2129.0	650.0	315.0	749.0	810.0	315.0	135.0	128.0	214.0	19.0	54.0	289.0	29.0	22.0	121.0	126.0	33.0	104.0	52.0	25.0	5.0	16.0	48.0	86.0	63.0	83.0	64.0	75.0	62.0	70.0	67.0	84.0	92.0	83.0	119.0	137.0	141.0	175.0	192.0	162.0	216.0	304.0	196.0	244.0	297.0	290.0	429.0	545.0	387.0	1897.0	57583.0
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC_R2 - Second read: Adapter 2	1.6027579998022699	1.426178060262161	2.4874387789066588	5.784451714343681	19.629742341245688	91.35828768512883	190.47483766233765	1076.5746753246754	3128.896103896104	13516.410256410256	46365.0	251310.0	348140.0	34035.0	46347.0	17122.0	37283.0	17379.0	15396.0	19786.0	18423.0	19748.0	16224.0	12596.0	11720.0	12151.0	9061.0	9080.0	8052.0	6367.0	6863.0	6719.0	6548.0	5269.0	5361.0	4653.0	3208.0	3270.0	3250.0	4961.0	1950.0	4427.0	2941.0	2584.0	2760.0	532.0	1219.0	198.0	424.0	264.0	940.0	1037.0	218.0	727.0	1054.0	226.0	114.0	598.0	90.0	100.0	386.0	69.0	52.0	70.0	37.0	85.0	78.0	91.0	51.0	57.0	52.0	90.0	104.0	67.0	37.0	39.0	44.0	58.0	49.0	63.0	68.0	69.0	97.0	119.0	131.0	157.0	178.0	152.0	193.0	292.0	181.0	230.0	266.0	260.0	378.0	513.0	282.0	517.0	10553.0
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP_R2 - First read: Adapter 1	1.3284672642314863	1.323671678996318	2.4358706128704037	6.173384356782662	20.16852164458814	87.52117189288167	283.84157509157507	1068.5714285714284	3902.481751824818	14624.705882352942	50844.444444444445	204460.0	403070.0	34368.0	34876.0	31258.0	23018.0	23463.0	22017.0	18394.0	18814.0	16831.0	15181.0	12850.0	13055.0	11229.0	10140.0	8946.0	7290.0	7384.0	6119.0	6339.0	5776.0	4613.0	5026.0	4572.0	3852.0	3049.0	3298.0	2924.0	3873.0	2983.0	10214.0	258.0	840.0	2726.0	386.0	128.0	1037.0	284.0	68.0	504.0	349.0	62.0	25.0	30.0	144.0	5.0	21.0	223.0	11.0	8.0	70.0	76.0	8.0	44.0	29.0	14.0	3.0	11.0	51.0	67.0	58.0	64.0	68.0	76.0	68.0	66.0	81.0	74.0	86.0	59.0	95.0	141.0	119.0	157.0	143.0	142.0	197.0	305.0	148.0	198.0	263.0	249.0	351.0	434.0	196.0	766.0	19564.0
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP_R2 - Second read: Adapter 2	1.617079649964007	1.4555157978688211	2.666709583509918	6.494188333750581	21.742725530027755	98.7880521858549	218.9331501831502	1192.857142857143	3531.6788321167887	15355.588235294119	49630.0	248635.0	343770.0	33313.0	45548.0	16795.0	36280.0	17596.0	15459.0	18938.0	18237.0	18118.0	17453.0	12794.0	11667.0	13184.0	7304.0	11630.0	4955.0	8661.0	4591.0	6803.0	4567.0	4578.0	4955.0	13104.0	3378.0	1830.0	2623.0	2405.0	1839.0	3410.0	1904.0	1247.0	620.0	239.0	645.0	38.0	186.0	109.0	762.0	916.0	200.0	585.0	840.0	234.0	178.0	562.0	94.0	61.0	304.0	115.0	29.0	30.0	10.0	39.0	21.0	49.0	25.0	31.0	30.0	15.0	18.0	7.0	14.0	51.0	49.0	53.0	58.0	58.0	64.0	53.0	82.0	112.0	110.0	143.0	134.0	142.0	182.0	295.0	137.0	183.0	250.0	234.0	320.0	418.0	160.0	216.0	4020.0
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP_R2 - First read: Adapter 1	1.3234948297799483	1.3148625263931841	2.364601148301979	5.83600048863914	18.768629367212313	78.82243721293854	281.2314308053166	1001.140625	3703.0	13820.25	47583.0	235130.0	422510.0	39249.0	37903.0	32440.0	26181.0	25361.0	23839.0	19782.0	19813.0	17763.0	16303.0	13641.0	13823.0	11811.0	10548.0	9571.0	7745.0	8152.0	6262.0	6590.0	6135.0	7610.0	4674.0	593.0	3638.0	3362.0	2561.0	2807.0	3003.0	2519.0	4255.0	263.0	432.0	1547.0	1181.0	716.0	1112.0	877.0	717.0	724.0	1005.0	637.0	463.0	507.0	507.0	100.0	121.0	439.0	146.0	142.0	151.0	272.0	97.0	200.0	48.0	21.0	15.0	30.0	84.0	118.0	109.0	123.0	117.0	156.0	150.0	163.0	185.0	179.0	222.0	254.0	322.0	325.0	327.0	405.0	400.0	374.0	482.0	710.0	396.0	491.0	630.0	603.0	942.0	1081.0	357.0	663.0	16753.0
