NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC_R2 - First read: Adapter 1	1348001	328024	142629	86290	69621	76630	62968	58615	54182	50551	44817	42897	39576	36001	35252	30674	24267	23880	22456	18998	18993	17533	15618	13269	13572	11762	10496	9229	7619	7694	6546	6780	6050	4601	4846	4481	4194	3526	3685	3451	3533	2106	3830	951	1801	3560	1794	1142	2129	650	315	749	810	315	135	128	214	19	54	289	29	22	121	126	33	104	52	25	5	16	48	86	63	83	64	75	62	70	67	84	92	83	119	137	141	175	192	162	216	304	196	244	297	290	429	545	387	1897	57583
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.24_32_ACC_R2 - Second read: Adapter 2	1617914	359916	156935	91237	77404	90061	46933	66317	48185	52714	46365	50262	34814	34035	46347	17122	37283	17379	15396	19786	18423	19748	16224	12596	11720	12151	9061	9080	8052	6367	6863	6719	6548	5269	5361	4653	3208	3270	3250	4961	1950	4427	2941	2584	2760	532	1219	198	424	264	940	1037	218	727	1054	226	114	598	90	100	386	69	52	70	37	85	78	91	51	57	52	90	104	67	37	39	44	58	49	63	68	69	97	119	131	157	178	152	193	292	181	230	266	260	378	513	282	517	10553
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP_R2 - First read: Adapter 1	1188651	296090	136219	86307	70491	76476	61991	58344	53464	49724	45760	40892	40307	34368	34876	31258	23018	23463	22017	18394	18814	16831	15181	12850	13055	11229	10140	8946	7290	7384	6119	6339	5776	4613	5026	4572	3852	3049	3298	2924	3873	2983	10214	258	840	2726	386	128	1037	284	68	504	349	62	25	30	144	5	21	223	11	8	70	76	8	44	29	14	3	11	51	67	58	64	68	76	68	66	81	74	86	59	95	141	119	157	143	142	197	305	148	198	263	249	351	434	196	766	19564
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.01_15_vHIP_R2 - Second read: Adapter 2	1446888	325582	149128	90792	75993	86321	47815	65130	48384	52209	44667	49727	34377	33313	45548	16795	36280	17596	15459	18938	18237	18118	17453	12794	11667	13184	7304	11630	4955	8661	4591	6803	4567	4578	4955	13104	3378	1830	2623	2405	1839	3410	1904	1247	620	239	645	38	186	109	762	916	200	585	840	234	178	562	94	61	304	115	29	30	10	39	21	49	25	31	30	15	18	7	14	51	49	53	58	58	64	53	82	112	110	143	134	142	182	295	137	183	250	234	320	418	160	216	4020
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
NS.1223.004.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.05_13_dHIP_R2 - First read: Adapter 1	1386769	344431	154853	95547	76820	80659	71939	64073	59248	55281	47583	47026	42251	39249	37903	32440	26181	25361	23839	19782	19813	17763	16303	13641	13823	11811	10548	9571	7745	8152	6262	6590	6135	7610	4674	593	3638	3362	2561	2807	3003	2519	4255	263	432	1547	1181	716	1112	877	717	724	1005	637	463	507	507	100	121	439	146	142	151	272	97	200	48	21	15	30	84	118	109	123	117	156	150	163	185	179	222	254	322	325	327	405	400	374	482	710	396	491	630	603	942	1081	357	663	16753
	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101
