Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
NS.1223.004.NEBNext_dual_i7_F6---NEBNext_dual_i5_F6.21_38_vHIP	Unknown Library	0.0	33181159.0	3469714.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_F7---NEBNext_dual_i5_F7.25_31_dHIP	Unknown Library	0.0	34498765.0	3499836.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_F8---NEBNext_dual_i5_F8.11_09_ACC	Unknown Library	0.0	25345669.0	2943936.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_F9---NEBNext_dual_i5_F9.03_15_vHIP	Unknown Library	0.0	67463038.0	6888734.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_G1---NEBNext_dual_i5_G1.27_32_vHIP	Unknown Library	0.0	28563152.0	3009874.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_G2---NEBNext_dual_i5_G2.08_09_dHIP	Unknown Library	0.0	23458350.0	2377408.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_G3---NEBNext_dual_i5_G3.10_35_ACC	Unknown Library	0.0	26476728.0	2904686.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_G4---NEBNext_dual_i5_G4.04_09_vHIP	Unknown Library	0.0	31381892.0	3328104.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_G5---NEBNext_dual_i5_G5.13_09_dHIP	Unknown Library	0.0	37818199.0	3683712.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_G6---NEBNext_dual_i5_G6.01_15_ACC	Unknown Library	0.0	22782480.0	2306986.0	0.0	0.0	0.0	0.0	0.0	
NS.1223.004.NEBNext_dual_i7_G7---NEBNext_dual_i5_G7.25_31_vHIP	Unknown Library	0.0	30835434.0	3483536.0	0.0	0.0	0.0	0.0	0.0	
