Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC_R1	NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35836501.0	0.0	101.0	51.0	46.161566407816345	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC_R2	NS.1223.004.NEBNext_dual_i7_B1---NEBNext_dual_i5_B1.16_38_ACC_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35836501.0	0.0	101.0	51.0	43.92317633441538	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP_R1	NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53572942.0	0.0	101.0	51.0	41.939080061320674	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP_R2	NS.1223.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.17_32_vHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53572942.0	0.0	101.0	51.0	38.74179958421934	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP_R1	NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54579559.0	0.0	101.0	51.0	41.074254558827214	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP_R2	NS.1223.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.07_26_dHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54579559.0	0.0	101.0	52.0	38.48464057879612	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACC_R1	NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACC_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39651167.0	0.0	101.0	51.0	45.74018917014315	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACC_R2	NS.1223.004.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.23_38_ACC_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39651167.0	0.0	101.0	51.0	43.113531814369466	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIP_R1	NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35966945.0	0.0	101.0	51.0	44.97606488028837	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIP_R2	NS.1223.004.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.08_31_vHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35966945.0	0.0	101.0	52.0	42.32694806965382	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIP_R1	NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42274003.0	0.0	101.0	51.0	45.43616775297671	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIP_R2	NS.1223.004.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.24_32_dHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42274003.0	0.0	101.0	51.0	43.32786690276082	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.07_09_ACC_R1	NS.1223.004.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.07_09_ACC_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46018514.0	0.0	101.0	51.0	45.466804123387845	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.07_09_ACC_R2	NS.1223.004.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.07_09_ACC_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46018514.0	0.0	101.0	51.0	42.378781074205264	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIP_R1	NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60010642.0	0.0	101.0	51.0	41.891367632895026	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIP_R2	NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60010642.0	0.0	101.0	51.0	39.82452862435996	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP_R1	NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53084388.0	0.0	101.0	51.0	42.384716361333524	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP_R2	NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53084388.0	0.0	101.0	52.0	40.17859767338752	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
