Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIP_R1	58.108632367104974	51.0	101.0	18.181818181818183	60010642.0				
NS.1223.004.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.05_13_vHIP_R2	60.17547137564004	51.0	101.0	9.090909090909092	60010642.0				0.5551792194814149
NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP						0.215016	93.65	49712692.0	
NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP_R1	57.615283638666476	51.0	101.0	18.181818181818183	53084388.0				
NS.1223.004.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.01_09_dHIP_R2	59.82140232661248	52.0	101.0	9.090909090909092	53084388.0				0.5493805951623164
NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP						0.186381	93.76	32861212.0	
NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP_R1	51.12212663393457	50.0	101.0	18.181818181818183	35048824.0				
NS.1223.004.NEBNext_dual_i7_C1---NEBNext_dual_i5_C1.16_38_dHIP_R2	52.88669469248777	51.0	101.0	9.090909090909092	35048824.0				0.47880805946415195
NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC						0.184977	93.28	28083382.0	
NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC_R1	50.60366163606075	50.0	101.0	18.181818181818183	30107510.0				
NS.1223.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.03_13_ACC_R2	53.607035428025384	51.0	101.0	9.090909090909092	30107510.0				0.5626027466828767
NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP						0.212035	93.52	44482767.0	
NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP_R1	57.3093610444817	51.0	101.0	18.181818181818183	47563263.0				
NS.1223.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.07_26_vHIP_R2	61.02982543097606	52.0	101.0	9.090909090909092	47563263.0				0.5648187712095412
NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP						0.174526	93.74	28616862.0	
NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP_R1	49.21510795458792	51.0	101.0	9.090909090909092	30528345.0				
NS.1223.004.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.23_38_dHIP_R2	52.103954590347065	51.0	101.0	9.090909090909092	30528345.0				0.5524488636691736
NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC						0.217996	93.06	34074653.0	
NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC_R1	54.62742089813855	51.0	101.0	18.181818181818183	36616291.0				
NS.1223.004.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.19_26_ACC_R2	57.13962534847868	51.0	101.0	9.090909090909092	36616291.0				0.577799449219945
NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP						0.190777	93.56	26778213.0	
NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP_R1	51.86209385417124	52.0	101.0	18.181818181818183	28622491.0				
NS.1223.004.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.24_32_vHIP_R2	54.61198172255479	52.0	101.0	9.090909090909092	28622491.0				0.5535699700333041
NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP						0.237314	93.92	43166959.0	
NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP_R1	56.07796847383665	51.0	101.0	18.181818181818183	45962658.0				
NS.1223.004.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.07_09_dHIP_R2	58.929698561978256	51.0	101.0	9.090909090909092	45962658.0				0.46633670005389466
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC						0.183934	93.72	28076544.0	
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC_R1	51.36767483320938	51.0	101.0	18.181818181818183	29959481.0				
NS.1223.004.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.06_38_ACC_R2	53.60407659852442	52.0	101.0	9.090909090909092	29959481.0				0.4945277276133702
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP						0.181793	93.6	27624315.0	
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP_R1	51.441512203110655	52.0	101.0	18.181818181818183	29511736.0				
NS.1223.004.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.01_09_vHIP_R2	54.01527354943475	52.0	101.0	9.090909090909092	29511736.0				0.5603284854755296
NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIP						0.195461	93.8	32585809.0	
NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIP_R1	52.52646977798382	51.0	101.0	18.181818181818183	34740834.0				
NS.1223.004.NEBNext_dual_i7_D1---NEBNext_dual_i5_D1.16_38_vHIP_R2	55.0821783557076	51.0	101.0	9.090909090909092	34740834.0				0.5478584339941606
NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIP						0.217419	93.64	50974960.0	
NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIP_R1	56.890455233993634	51.0	101.0	18.181818181818183	54436095.0				
NS.1223.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.03_13_dHIP_R2	60.017021424172164	51.0	101.0	9.090909090909092	54436095.0				0.5751219947822205
NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACC						0.191997	93.35	30067714.0	
NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACC_R1	51.72876099131124	51.0	101.0	18.181818181818183	32210571.0				
NS.1223.004.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.14_35_ACC_R2	54.39167435014021	51.0	101.0	9.090909090909092	32210571.0				0.5189390086309932
NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIP						0.18005	93.65	25415376.0	
NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIP_R1	51.414333524597126	51.0	101.0	18.181818181818183	27138417.0				
NS.1223.004.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.23_38_vHIP_R2	54.606014584359485	51.0	101.0	9.090909090909092	27138417.0				0.4879067862278842
NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIP						0.189453	93.22	24404305.0	
NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIP_R1	49.682463130136355	51.0	101.0	9.090909090909092	26178206.0				
NS.1223.004.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.19_26_dHIP_R2	51.05855218370314	51.0	101.0	9.090909090909092	26178206.0				0.6074899868922256
NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACC						0.186852	93.83	41037466.0	
NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACC_R1	54.92192071121479	51.0	101.0	18.181818181818183	43734661.0				
NS.1223.004.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.21_38_ACC_R2	57.25334034144281	51.0	101.0	9.090909090909092	43734661.0				0.45990297021050436
NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIP						0.173676	93.51	27217863.0	
NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIP_R1	50.31572033689291	51.0	101.0	18.181818181818183	29107394.0				
NS.1223.004.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.07_09_vHIP_R2	53.47607556061054	52.0	101.0	9.090909090909092	29107394.0				0.567528792114328
